id,player_id,team_id,start_date,end_date
1,1,2,7/1/2005,8/10/2021
2,1,5,8/10/2021,7/15/2023
3,1,7,8/17/2005,
4,2,3,8/12/2003,7/6/2009
5,2,1,7/6/2009,7/10/2018
6,2,3,8/31/2021,11/22/2022
7,3,2,7/11/2014,7/1/2020
8,4,5,8/31/2017,7/1/2024
9,4,1,7/1/2024,
10,4,8,3/25/2017,
11,5,2,7/1/2013,8/3/2017
12,5,5,8/3/2017,8/15/2023
13,5,10,8/10/2010,
14,6,3,8/31/2004,7/9/2017
15,6,6,2/12/2003,8/23/2017
16,7,4,7/1/2022,
17,8,4,7/28/2011,7/1/2021
18,8,2,7/1/2021,12/15/2021
19,8,7,8/2/2006,12/15/2021
20,9,3,7/1/1992,7/1/2003
21,9,1,7/1/2003,7/1/2007
22,9,5,1/31/2013,7/1/2013
23,9,6,9/1/1996,10/14/2009
24,10,1,8/31/2005,7/8/2021
25,10,5,7/8/2021,9/4/2023
26,10,9,3/26/2005,3/31/2021